Area,Date,Cigarette Butts,"Food Wrappers (candy, chips, etc.)",Take Out/Away Containers (Plastic),Take Out/Away Containers (Foam),Bottle Caps (Plastic),Bottle Caps (Metal),Lids (Plastic),"Straws, Stirrers","Forks, Knives, Spoons",Beverage Bottles (Plastic),Beverage Bottles (Glass),Beverage Cans,Grocery Bags (Plastic),Other Plastic Bags,Paper Bags,"Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps",Fishing Net & Pieces,Fishing Line (1 yard/meter = 1 piece),Rope (1 yard/meter = 1 piece),Fishing Gear (Clean Swell),6-Pack Holders,Other Plastic/Foam Packaging,"Other Plastic Bottles (oil, bleach, etc.)",Strapping Bands,Tobacco Packaging/Wrap,Other Packaging (Clean Swell),"Appliances (refrigerators, washers, etc.)",Balloons,Cigar Tips,Cigarette Lighters,Construction Materials,Fireworks,Tires,Toys,Other Trash (Clean Swell),Condoms,Diapers,Syringes,Tampons/Tampon Applicators,Personal Hygiene (Clean Swell),Foam Pieces,Glass Pieces,Plastic Pieces,Total Items Collected,Total Pounds of Litter Collected,Number of Volunteers,Volunteer Hours,Number of Miles
East Ocean View (1300 - 1900 Block),11/05/2022,655,49,3,5,30,8,13,21,0,17,1,10,0,19,0,6,8,0,0,9,20,1,0,0,0,0,0,27,0,0,0,27,0,22,0,1,0,0,3,0,0,0,0,14,7,129,1105,70,11,33,0.62
Harbor Park,10/22/2022,1119,269,90,42,354,27,73,135,44,242,30,70,71,111,0,48,68,59,2,10,29,20,0,2,152,8,26,53,0,2,24,128,10,75,0,1,0,0,2,1,0,4,6,218,246,680,4551,20,44,110,1
Lafayette Park,10/22/2022,44,18,58,11,18,10,14,4,3,15,13,19,15,15,0,5,6,11,0,0,2,0,0,0,6,5,1,10,0,0,13,5,0,0,0,0,0,0,0,2,0,0,14,6,12,5,360,0,4,8,1.25
Barraud Park,10/22/2022,1271,273,15,26,742,1589,6,90,6,70,85,63,44,47,0,9,19,56,0,0,0,0,0,1,12,1,0,237,0,0,7,0,0,16,0,1,0,0,1,1,0,0,6,96,0,97,4887,15,35,52.5,1.5
Rosemont Middle School,10/20/2022,49,133,15,10,101,111,28,23,24,66,110,37,15,11,0,16,14,37,0,7,0,1,0,5,14,8,0,0,0,0,26,13,0,22,0,1,0,0,6,0,0,0,53,36,76,36,1104,2,37,37,1
Bayview Elememtary,10/15/2022,56,233,3,5,36,8,10,21,8,52,7,5,16,18,0,4,12,5,0,0,0,1,0,0,8,0,4,0,0,0,4,14,2,23,0,1,0,0,0,0,0,0,24,1,291,116,988,25,26,52,7
ODU/Lamberts Point,10/09/2022,24,59,52,18,35,19,30,43,19,62,21,75,27,26,0,16,43,12,0,3,18,0,0,12,5,8,3,25,0,0,6,27,0,4,0,0,0,0,7,1,0,0,19,65,77,138,999,220,15,45,3.5
East Ocean View Rec Center,10/06/2022,133,92,6,7,58,15,5,23,3,38,24,23,35,4,0,6,6,9,3,2,30,0,0,1,9,0,0,0,0,0,1,13,0,7,0,0,0,0,0,2,1,1,4,55,37,103,756,80,8,32,1.5
Plum Point Park,09/24/2022,10,0,11,11,4,0,8,6,3,7,2,6,8,34,0,1,7,1,0,0,0,3,0,1,36,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,1,0,8,0,0,5,181,70,4,8,0.01
Ocean View Beach,09/24/2022,318,75,5,2,70,69,16,29,0,7,24,25,13,9,0,17,6,1,0,0,1,1,0,0,2,0,1,28,0,0,0,28,5,0,0,0,0,0,1,0,0,1,0,2,3,1,760,100,19,38,2
East Ocean View,10/23/2021,684,136,6,1,44,37,8,37,4,20,32,30,11,10,4,0,3,5,0,4,22,10,0,0,10,0,10,14,0,0,0,27,0,11,0,0,0,0,4,1,2,1,0,11,15,126,1340,130,26,52,1
The Hague,10/22/2021,113,42,2,37,53,22,17,9,42,68,23,82,52,0,0,9,13,2,1,0,0,3,0,1,0,2,0,17,0,0,0,39,14,0,0,0,0,0,4,0,0,0,0,17,0,117,801,160,13,26,1
East Ocean View (1300 - 1900 Block),10/16/2021,14,2,1,0,9,1,1,6,0,1,0,0,0,12,0,1,2,0,0,0,0,6,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,11,1,54,128,60,10,15,1
Barraud Park,10/16/2021,2724,778,18,21,780,4332,77,368,136,161,62,95,103,123,59,23,41,74,0,3,5,6.5,0,7,196,17,19,336,0,2,31,405,19,52,9,6,7,0,10,11,1,1,3,47,754,1347,13269.5,1100,87,174,3
100 East Ocean View Ave,10/13/2021,103,17,0,0,31,14,0,5,3,3,5,4,3,16,2,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,4,12,2,2,0,0,0,0,0,0,0,0,1,0,0,5,236,20,5,10,0.5
Lakewood Park,10/08/2021,67,22,3,3,49,17,0,35,7,51,2,31,6,0,0,1,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,12,2,5,0,0,0,0,1,1,0,2,0,0,0,93,419,120,8,16,3
Harbor Park (ERT),09/25/2021,438,382,52,66,177,36,86,67,20,358,98,218,192,256,96,142,111,127,2,13,49,27,0,4,78,18,11,28,0,4,2,55,5,87,0,4,0,0,1,4,0,2,22,308,120,860,4626,408,52,104,1.5
Old Dominion University,09/20/2021,13,42,0,0,9,1,0,6,6,2,0,0,0,4,3,0,2,1,0,0,0,2,0,0,4,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,14,2,12,48,175,20,20,20,0.5
Ocean View Beach Park,09/20/2021,180,54,2,11,48,39,0,24,17,28,19,32,17,5,2,20,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,32,19,69,631,100,10,20,2
Willoughby Spit,09/04/2021,231,13,5,19,76,29,7,7,9,38,19,15,12,5,4,1,4,15,2,3,5,3,0,1,0,1,0,7,0,0,0,49,4,0,4,1,0,0,2,4,0,0,0,10,17,44,666,130,9,18,0.5
Town Point Park/ Nauticus,08/23/2021,346,183,51,14,81,26,41,73,21,53,14,38,32,60,20,64,34,11,1,0,0,1,0,1,180,2,30,19,0,2,1,69,2,32,1,1,0,0,3,3,1,2,13,98,19,423,2066,55,10,20,1
Lafayette Park & Lavalette Boat Ramp,10/26/2019,155,82,6,23,64,24,14,22,13,37,39,27,58,18,15,11,10,18,0,3,2,3,0,2,13,0,0,11,0,0,12,30,0,4,0,2,0,0,1,0,0,0,0,9,17,177,332,200,20,30,2
Ocean View Beach Park,10/18/2019,173,32,50,0,16,0,9,21,1,8,0,5,1,4,1,1,0,0,0,0,0,0,0,0,0,0,15,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,16,361,40,1,1,0.5
Willoughby Spit,10/05/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakewood Park,10/05/2019,252,287,24,22,84,21,34,33,19,116,10,26,14,14,8,2,16,8,0,0,0,1,0,1,42,4,4,22,0,1,6,7,7,8,0,1,0,0,1,1,0,4,0,93,29,266,1488,79,9,22.5,0.75
East Ocean View,10/05/2019,410,42,4,2,49,14,12,26,2,18,3,26,8,5,0,0,0,0,1,0,15,21,0,0,2,0,1,1,0,0,15,48,5,6,6,0,0,0,2,0,0,1,0,42,6,180,973,75,5,5,1
Harbor Park (ERT),10/05/2019,482,301,38,53,143,44,86,133,15,340,64,123,186,269,90,71,105,143,1,11,21,16,0,4,102,21,38,57,0,1,16,40,4,73,0,7,0,0,0,5,0,1,0,293,34,631,4062,405,29,43.5,1
The Hague,10/05/2019,129,26,3,1,6,1,3,8,0,5,4,4,2,8,1,1,0,2,0,3,0,5,0,0,2,0,0,13,0,0,0,7,0,17,0,0,0,0,0,0,0,0,0,32,102,65,450,45,4,6,1.5
Lamberts Point,10/05/2019,68,53,9,3,14,6,17,30,3,67,19,69,1,19,20,23,31,5,0,0,0,0,0,0,31,0,2,9,0,2,0,10,0,1,0,0,0,0,1,0,0,2,0,0,0,0,515,135,11,16.5,2
Old Dominion University,10/05/2019,383,60,20,1,39,33,14,47,7,32,3,24,17,5,48,11,32,5,0,0,0,1,0,0,3,6,2,23,0,5,0,30,0,5,0,0,0,0,2,0,1,2,0,66,54,111,1092,120,4,6,5
Bayview Elementary/East Bayview Boulevard,09/28/2019,140,213,2,0,23,2,6,18,7,21,0,6,16,3,1,2,3,0,0,0,0,2,0,0,3,0,3,3,0,0,0,7,0,7,0,0,0,0,0,1,0,1,0,4,4,52,550,20,5,5,2.5
Barraud Park,09/21/2019,3162,342,31,15,300,1384,56,176,66,92,49,79,61,82,89,27,20,9,0,1,0,1,0,3,126,5,9,185,0,0,31,169,7,9,0,1,0,0,3,24,0,0,0,30,258,371,7273,120,29,43.5,2
Bayview Elementary/East Bayview Boulevard,10/28/2018,603,356,3,0,33,8,11,31,8,17,7,14,10,13,28,4,10,2,0,0,0,3,0,1,30,1,7,29,0,0,1,48,1,17,0,1,0,1,0,0,0,0,36,14,133,0,1481,50,12,18,1
Lakewood Park,10/17/2018,99,137,5,5,75,71,8,28,12,16,8,9,7,9,3,3,7,0,0,0,1,1,0,0,4,4,12,5,0,0,0,12,2,5,0,0,0,1,1,0,2,0,21,13,265,0,851,120,17,25.5,1
The Hague,10/13/2018,254,119,8,15,43,14,15,67,2,52,7,14,19,50,43,23,34,23,0,2,1,3,0,0,55,1,4,19,0,2,10,31,3,9,0,1,0,1,1,1,0,0,30,27,121,0,1124,120,24,36,2
Lafayette Park & Lavalette Boat Ramp,10/13/2018,560,326,12,7,112,151,23,73,21,60,22,169,42,15,23,26,20,13,0,3,1,6,0,4,86,1,3,98,0,0,7,62,5,17,1,0,0,5,0,0,1,0,43,253,400,0,2671,189,23,34.5,2.5
Old Dominion University,10/13/2018,19,17,7,4,6,4,7,5,1,18,10,5,4,2,2,15,13,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,18,0,0,0,0,0,0,1,0,22,11,31,228,456,60,6,6,3
Ocean View Beach Park,09/30/2018,1494,130,20,6,81,64,31,91,2,45,28,67,17,32,15,14,22,8,0,1,0,1,0,4,19,1,9,40,0,0,3,100,5,46,5,0,0,1,2,0,0,0,74,76,189,0,2743,110,22,33,0.5
Harbor Park (ERT),09/30/2018,78,177,15,18,141,3,34,67,7,187,39,78,98,39,14,73,66,38,0,0,3,14,0,2,96,8,3,11,0,0,0,14,1,3,0,5,0,1,1,0,1,0,158,28,88,0,1609,290,12,18,1
East Ocean View,09/30/2018,40,140,90,40,30,30,50,70,10,250,180,150,90,45,30,35,20,10,1,5,0,0,0,5,15,4,1,60,0,0,1,13,3,15,0,0,0,1,0,0,3,0,210,40,110,0,1797,150,7,10.5,2
Barraud Park,09/30/2018,699,629,33,23,313,828,10,127,35,124,94,76,82,127,31,16,23,40,3,8,1,1,0,9,88,7,13,168,0,0,11,190,16,31,0,3,0,18,0,0,1,0,2093,750,694,7415,14830,295,39,78,2
Willoughby Spit,09/30/2018,780,339,68,52,155,231,74,156,26,286,140,152,304,105,92,179,60,33,1,0,0,82,0,0,11,5,5,38,0,0,0,67,12,11,4,1,0,5,1,0,0,0,24,488,65,0,4052,390,11,16.5,4
Oceanview Park (4th - 9th Street),09/30/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakewood Park,09/30/2017,6,14,5,3,3,4,6,11,1,17,2,6,5,4,1,1,7,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,1,0,0,0,12,0,0,0,0,2,7,0,8,132,30,1,2,1
East Ocean View (1300 - 1900 Block),09/30/2017,50,0,7,0,31,32,3,22,0,15,2,12,42,0,0,8,0,8,1,0,2,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,249,30,3,6,1
Old Dominion University,09/30/2017,35,9,0,0,3,52,2,11,1,11,7,0,0,1,0,11,0,3,0,0,0,10,0,0,0,0,0,21,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,188,30,14,14,1
East Oceanview Community Park,09/30/2017,118,397,46,22,246,66,31,187,44,322,40,29,97,5,0,28,8,19,2,0,0,0,0,3,0,3,0,143,0,0,4,29,7,10,0,0,0,0,1,0,0,1,0,12,0,16,1936,345,9,22.5,1
Ocean View Beach Park,09/30/2017,3025,114,0,0,105,18,13,152,12,103,37,114,37,60,17,31,16,26,0,2,2,1,0,1,13,5,3,17,0,0,4,51,2,14,1,0,0,0,2,0,1,2,7,58,22,304,4392,165,23,46,1
Willoughby Spit,09/30/2017,252,66,29,29,87,60,58,72,58,101,62,86,74,74,52,75,50,44,7,7,1,3,0,39,13,17,6,18,0,3,10,14,22,22,1,4,0,0,4,17,2,5,0,81,198,270,2093,725,38,114,1
Norfolk Collegiate (Lafayette Park - Boat Ramp),09/30/2017,618,607,27,34,285,200,50,95,39,201,44,43,56,113,36,41,31,21,0,19,0,112,0,3,135,20,11,42,0,0,26,68,4,11,0,12,0,0,33,3,7,8,0,54,217,711,4037,270,59,118,1
Barraud Park,09/30/2017,3639,1203,40,106,549,6269,79,106,37,395,1240,276,326,542,102,163,96,281,1,5,50,8,0,4,90,5,18,131,0,5,28,281,50,15,6,4,0,0,9,0,0,0,0,528,2806,1051,20544,2545,132,396,1
Bayview Elementary/East Bayview Boulevard,09/30/2017,158,113,10,9,19,1,11,26,1,17,2,13,5,9,10,16,2,3,0,0,0,0,0,0,0,0,2,15,0,0,1,7,1,15,0,0,0,0,0,0,0,0,0,8,0,150,624,80,14,28,1.75
Lambert's Point (ODU Service Learning Group),09/30/2017,1003,944,80,46,214,160,109,166,35,220,154,235,100,114,187,176,153,64,0,9,1,10,0,3,112,7,29,135,0,13,5,98,18,64,0,5,0,441,8,1,0,14,33,156,1112,1458,7892,915,178,222.5,10
Curlew Drive (Feeder Road - Light Rail Station),09/30/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Princess Anne Road (Park Avenue - Ballentine Boulevard),09/30/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wetland (Poppe and Somee),09/30/2016,111,36,1,0,17,0,42,4,11,4,1,4,1,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,16,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,21,290,55,1,3,1
East Ocean View (1300 - 1800 Block),09/30/2016,3060,164,33,7,294,30,18,108,27,51,23,42,29,18,3,34,17,8,0,8,2,10,0,1,22,5,8,22,0,0,12,76,3,2,17,0,0,0,2,0,0,2,0,161,50,535,4904,60,2,4,1
Community Beach Park,09/30/2016,37,8,0,1,18,11,2,12,9,2,13,16,3,3,0,0,1,0,0,0,0,0,0,2,1,0,2,0,0,0,18,1,0,1,0,0,0,0,0,0,0,0,0,5,3,7,176,12,3,6,1
Bay Dunes Drive,09/30/2016,126,15,3,0,7,0,6,18,0,3,0,0,0,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,3,0,1,0,0,0,0,0,2,28,0,0,0,0,0,0,0,10,237,60,3,9,1
Tidewater (Little Creek - Bayview),09/30/2016,56,32,2,1,4,0,6,11,1,20,5,7,21,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,1,23,0,0,0,0,2,0,0,40,246,60,9,9,1
Beach (21st Bay Street - 30th Bay Street),09/30/2016,133,53,17,0,42,0,33,23,5,45,54,47,91,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,36,0,3,0,0,0,0,0,1,196,0,0,0,0,10,0,0,206,1002,90,5,10,1
Sarah Constance Beach Park,09/30/2016,0,41,2,5,3,11,0,2,12,3,13,6,15,7,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,4,0,0,136,150,8,16,1
Admiral Taussig Boulevard (Granby Street - East Little Creek Boulevard),09/30/2016,71,34,0,3,24,5,13,17,5,31,9,7,11,16,3,16,14,4,1,1,0,0,0,0,9,0,0,13,0,0,0,18,1,4,0,0,0,0,1,0,1,0,0,0,32,125,489,60,10,20,1
Beach (Cottage Place Beach - North Beach View),09/30/2016,439,95,32,40,158,18,13,30,7,44,70,44,34,2,6,9,6,2,1,0,6,1,0,0,0,0,0,38,0,0,10,29,3,0,26,0,0,0,6,10,1,3,0,21,8,63,1275,200,9,27,1
Oceanview Pier,09/30/2016,171,95,14,13,30,0,19,48,0,30,13,31,33,0,0,0,31,0,0,0,0,0,6,0,0,0,0,0,17,0,1,0,0,0,0,0,2,185,0,0,0,0,1,0,0,136,876,90,12,36,1
Ocean View Beach Park,09/30/2016,3060,164,33,7,294,30,18,108,27,51,23,42,29,18,3,34,17,8,0,8,2,10,0,1,22,5,8,22,0,0,12,76,3,2,17,0,0,0,2,0,0,2,0,161,50,535,4904,240,15,45,1
East Oceanview Community Park,09/30/2016,323,43,20,3,42,0,8,5,7,14,20,31,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,0,1,0,0,0,0,0,0,137,0,0,0,0,0,0,0,114,818,180,19,57,1
SPOT- Military Gardens,09/30/2016,63,2,0,0,9,0,0,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,25,196,1460,7,35,2
Willoughby Spit,09/30/2016,386,59,41,25,127,0,93,146,24,91,67,69,28,0,0,0,14,0,0,0,0,0,19,0,0,0,0,0,105,0,2,0,0,0,0,0,0,274,0,0,0,0,59,0,0,289,1918,1150,42,126,2
